Date,sku_id,category,units sold,promotions,customers_visits,conversion_rate
2025-01-28,1072-071/OCEAN,End Tables,0,On Promotion,669,0.0
2025-01-29,1072-071/OCEAN,End Tables,1,On Promotion,422,0.0024
2025-01-30,1072-071/OCEAN,End Tables,0,On Promotion,469,0.0
2025-01-31,1072-071/OCEAN,End Tables,0,On Promotion,654,0.0
2025-02-01,1072-071/OCEAN,End Tables,1,On Promotion,344,0.0029
2025-02-02,1072-071/OCEAN,End Tables,2,On Promotion,618,0.0032
2025-02-03,1072-071/OCEAN,End Tables,0,On Promotion,640,0.0
2025-02-04,1072-071/OCEAN,End Tables,0,On Promotion,730,0.0
2025-02-05,1072-071/OCEAN,End Tables,1,On Promotion,300,0.0033
2025-02-06,1072-071/OCEAN,End Tables,0,On Promotion,571,0.0
2025-02-07,1072-071/OCEAN,End Tables,0,On Promotion,608,0.0
2025-02-08,1072-071/OCEAN,End Tables,1,On Promotion,375,0.0027
2025-02-09,1072-071/OCEAN,End Tables,0,On Promotion,669,0.0
2025-02-10,1072-071/OCEAN,End Tables,1,On Promotion,209,0.0048
2025-02-11,1072-071/OCEAN,End Tables,0,On Promotion,916,0.0
2025-02-12,1072-071/OCEAN,End Tables,3,On Promotion,453,0.0066
2025-02-13,1072-071/OCEAN,End Tables,2,On Promotion,482,0.0041
2025-02-14,1072-071/OCEAN,End Tables,1,On Promotion,202,0.005
2025-02-15,1072-071/OCEAN,End Tables,1,On Promotion,317,0.0032
2025-02-16,1072-071/OCEAN,End Tables,0,On Promotion,561,0.0
2025-02-17,1072-071/OCEAN,End Tables,0,On Promotion,736,0.0
2025-02-18,1072-071/OCEAN,End Tables,3,On Promotion,620,0.0048
2025-02-19,1072-071/OCEAN,End Tables,1,On Promotion,525,0.0019
2025-02-20,1072-071/OCEAN,End Tables,0,On Promotion,609,0.0
2025-02-21,1072-071/OCEAN,End Tables,0,On Promotion,608,0.0
2025-02-22,1072-071/OCEAN,End Tables,1,On Promotion,195,0.0051
2025-02-23,1072-071/OCEAN,End Tables,0,On Promotion,801,0.0
2025-02-24,1072-071/OCEAN,End Tables,1,On Promotion,255,0.0039
2025-02-25,1072-071/OCEAN,End Tables,1,On Promotion,258,0.0039
2025-02-26,1072-071/OCEAN,End Tables,1,On Promotion,187,0.0053
2025-02-27,1072-071/OCEAN,End Tables,1,On Promotion,362,0.0028
2025-02-28,1072-071/OCEAN,End Tables,0,On Promotion,501,0.0
2025-03-01,1072-071/OCEAN,End Tables,2,On Promotion,887,0.0023
2025-03-02,1072-071/OCEAN,End Tables,1,On Promotion,348,0.0029
2025-03-03,1072-071/OCEAN,End Tables,1,On Promotion,258,0.0039
2025-03-04,1072-071/OCEAN,End Tables,0,On Promotion,643,0.0
2025-03-05,1072-071/OCEAN,End Tables,1,On Promotion,289,0.0035
2025-03-06,1072-071/OCEAN,End Tables,1,On Promotion,353,0.0028
2025-03-07,1072-071/OCEAN,End Tables,0,On Promotion,764,0.0
2025-03-08,1072-071/OCEAN,End Tables,2,On Promotion,564,0.0035
2025-03-09,1072-071/OCEAN,End Tables,1,On Promotion,392,0.0026
2025-03-10,1072-071/OCEAN,End Tables,0,On Promotion,764,0.0
2025-03-11,1072-071/OCEAN,End Tables,0,On Promotion,707,0.0
2025-03-12,1072-071/OCEAN,End Tables,2,On Promotion,845,0.0024
2025-03-13,1072-071/OCEAN,End Tables,0,On Promotion,664,0.0
2025-03-14,1072-071/OCEAN,End Tables,1,On Promotion,350,0.0029
2025-03-15,1072-071/OCEAN,End Tables,0,On Promotion,675,0.0
2025-03-16,1072-071/OCEAN,End Tables,0,On Promotion,731,0.0
2025-03-17,1072-071/OCEAN,End Tables,5,On Promotion,2291,0.0022
2025-03-18,1072-071/OCEAN,End Tables,0,On Promotion,916,0.0
2025-03-19,1072-071/OCEAN,End Tables,1,On Promotion,478,0.0021
2025-03-20,1072-071/OCEAN,End Tables,0,On Promotion,640,0.0
2025-03-21,1072-071/OCEAN,End Tables,0,On Promotion,480,0.0
2025-03-22,1072-071/OCEAN,End Tables,1,On Promotion,415,0.0024
2025-03-23,1072-071/OCEAN,End Tables,1,On Promotion,296,0.0034
2025-03-24,1072-071/OCEAN,End Tables,0,On Promotion,659,0.0
2025-03-25,1072-071/OCEAN,End Tables,1,On Promotion,270,0.0037
2025-03-26,1072-071/OCEAN,End Tables,0,On Promotion,669,0.0
2025-03-27,1072-071/OCEAN,End Tables,2,On Promotion,630,0.0032
2025-03-28,1072-071/OCEAN,End Tables,0,On Promotion,664,0.0
2025-03-29,1072-071/OCEAN,End Tables,0,On Promotion,675,0.0
2025-03-30,1072-071/OCEAN,End Tables,1,On Promotion,431,0.0023
2025-03-31,1072-071/OCEAN,End Tables,2,On Promotion,496,0.004
2025-04-01,1072-071/OCEAN,End Tables,3,On Promotion,974,0.0031
2025-04-02,1072-071/OCEAN,End Tables,1,On Promotion,270,0.0037
2025-04-03,1072-071/OCEAN,End Tables,0,On Promotion,510,0.0
2025-04-04,1072-071/OCEAN,End Tables,2,On Promotion,293,0.0068
2025-04-05,1072-071/OCEAN,End Tables,1,On Promotion,379,0.0026
2025-04-06,1072-071/OCEAN,End Tables,1,On Promotion,379,0.0026
2025-04-07,1072-071/OCEAN,End Tables,0,On Promotion,480,0.0
2025-04-08,1072-071/OCEAN,End Tables,4,On Promotion,853,0.0047
2025-04-09,1072-071/OCEAN,End Tables,1,On Promotion,234,0.0043
2025-04-10,1072-071/OCEAN,End Tables,2,On Promotion,452,0.0044
2025-04-11,1072-071/OCEAN,End Tables,2,On Promotion,305,0.0066
2025-04-12,1072-071/OCEAN,End Tables,1,On Promotion,223,0.0045
2025-04-13,1072-071/OCEAN,End Tables,1,On Promotion,251,0.004
2025-04-14,1072-071/OCEAN,End Tables,1,On Promotion,566,0.0018
2025-04-15,1072-071/OCEAN,End Tables,0,On Promotion,707,0.0
2025-04-16,1072-071/OCEAN,End Tables,1,On Promotion,195,0.0051
2025-04-17,1072-071/OCEAN,End Tables,0,On Promotion,510,0.0
2025-04-18,1072-071/OCEAN,End Tables,0,On Promotion,555,0.0
2025-04-19,1072-071/OCEAN,End Tables,1,On Promotion,284,0.0035
2025-04-20,1072-071/OCEAN,End Tables,1,On Promotion,303,0.0033
2025-04-21,1072-071/OCEAN,End Tables,0,On Promotion,747,0.0
2025-04-22,1072-071/OCEAN,End Tables,0,On Promotion,608,0.0
2025-04-23,1072-071/OCEAN,End Tables,0,On Promotion,510,0.0
2025-04-24,1072-071/OCEAN,End Tables,0,On Promotion,938,0.0
2025-04-25,1072-071/OCEAN,End Tables,0,On Promotion,613,0.0
2025-04-26,1072-071/OCEAN,End Tables,1,On Promotion,336,0.003
2025-04-27,1072-071/OCEAN,End Tables,0,On Promotion,841,0.0
2025-04-28,1072-071/OCEAN,End Tables,2,On Promotion,622,0.0032
2025-04-29,1072-071/OCEAN,End Tables,0,On Promotion,480,0.0
2025-04-30,1072-071/OCEAN,End Tables,0,On Promotion,571,0.0
2025-05-01,1072-071/OCEAN,End Tables,1,On Promotion,204,0.0049
2025-05-02,1072-071/OCEAN,End Tables,1,On Promotion,169,0.0059
2025-05-03,1072-071/OCEAN,End Tables,0,On Promotion,804,0.0
2025-05-04,1072-071/OCEAN,End Tables,0,On Promotion,736,0.0
2025-05-05,1072-071/OCEAN,End Tables,1,On Promotion,189,0.0053
2025-05-06,1072-071/OCEAN,End Tables,4,On Promotion,725,0.0055
2025-05-07,1072-071/OCEAN,End Tables,1,On Promotion,595,0.0017
2025-05-08,1072-071/OCEAN,End Tables,2,On Promotion,370,0.0054
2025-05-09,1072-071/OCEAN,End Tables,1,On Promotion,451,0.0022
2025-05-10,1072-071/OCEAN,End Tables,0,On Promotion,623,0.0
2025-05-11,1072-071/OCEAN,End Tables,1,On Promotion,510,0.002
2025-05-12,1072-071/OCEAN,End Tables,0,On Promotion,608,0.0
2025-05-13,1072-071/OCEAN,End Tables,0,On Promotion,608,0.0
2025-05-14,1072-071/OCEAN,End Tables,0,On Promotion,640,0.0
2025-05-15,1072-071/OCEAN,End Tables,1,On Promotion,244,0.0041
2025-05-16,1072-071/OCEAN,End Tables,2,On Promotion,479,0.0042
2025-05-17,1072-071/OCEAN,End Tables,2,On Promotion,445,0.0045
2025-05-18,1072-071/OCEAN,End Tables,1,On Promotion,244,0.0041
2025-05-19,1072-071/OCEAN,End Tables,0,On Promotion,469,0.0
2025-05-20,1072-071/OCEAN,End Tables,0,On Promotion,747,0.0
2025-05-21,1072-071/OCEAN,End Tables,2,On Promotion,488,0.0041
2025-05-22,1072-071/OCEAN,End Tables,0,On Promotion,609,0.0
2025-05-23,1072-071/OCEAN,End Tables,1,On Promotion,555,0.0018
2025-05-24,1072-071/OCEAN,End Tables,0,On Promotion,704,0.0
2025-05-25,1072-071/OCEAN,End Tables,4,On Promotion,897,0.0045
2025-05-26,1072-071/OCEAN,End Tables,0,On Promotion,652,0.0
2025-05-27,1072-071/OCEAN,End Tables,1,On Promotion,391,0.0026
2025-05-28,1072-071/OCEAN,End Tables,0,On Promotion,571,0.0
2025-05-29,1072-071/OCEAN,End Tables,1,On Promotion,184,0.0054
2025-05-30,1072-071/OCEAN,End Tables,3,On Promotion,727,0.0041
2025-05-31,1072-071/OCEAN,End Tables,2,On Promotion,447,0.0045
2025-06-01,1072-071/OCEAN,End Tables,0,On Promotion,720,0.0
2025-06-02,1072-071/OCEAN,End Tables,1,On Promotion,203,0.0049
2025-06-03,1072-071/OCEAN,End Tables,1,On Promotion,245,0.0041
2025-06-04,1072-071/OCEAN,End Tables,2,On Promotion,744,0.0027
2025-06-05,1072-071/OCEAN,End Tables,0,On Promotion,609,0.0
2025-06-06,1072-071/OCEAN,End Tables,0,On Promotion,764,0.0
2025-06-07,1072-071/OCEAN,End Tables,2,On Promotion,597,0.0034
2025-06-08,1072-071/OCEAN,End Tables,3,On Promotion,777,0.0039
2025-06-09,1072-071/OCEAN,End Tables,1,On Promotion,347,0.0029
2025-06-10,1072-071/OCEAN,End Tables,2,On Promotion,652,0.0031
2025-06-11,1072-071/OCEAN,End Tables,1,On Promotion,252,0.004
2025-06-12,1072-071/OCEAN,End Tables,2,On Promotion,583,0.0034
2025-06-13,1072-071/OCEAN,End Tables,1,On Promotion,266,0.0038
2025-06-14,1072-071/OCEAN,End Tables,1,On Promotion,382,0.0026
2025-06-15,1072-071/OCEAN,End Tables,2,On Promotion,607,0.0033
2025-06-16,1072-071/OCEAN,End Tables,2,On Promotion,412,0.0049
2025-06-17,1072-071/OCEAN,End Tables,0,On Promotion,613,0.0
2025-06-18,1072-071/OCEAN,End Tables,3,On Promotion,1070,0.0028
2025-06-19,1072-071/OCEAN,End Tables,0,On Promotion,643,0.0
2025-06-20,1072-071/OCEAN,End Tables,0,On Promotion,707,0.0
2025-06-21,1072-071/OCEAN,End Tables,1,On Promotion,277,0.0036
2025-06-22,1072-071/OCEAN,End Tables,2,On Promotion,485,0.0041
2025-06-23,1072-071/OCEAN,End Tables,0,On Promotion,571,0.0
2025-06-24,1072-071/OCEAN,End Tables,2,On Promotion,465,0.0043
2025-06-25,1072-071/OCEAN,End Tables,0,On Promotion,613,0.0
2025-06-26,1072-071/OCEAN,End Tables,4,On Promotion,1120,0.0036
2025-06-27,1072-071/OCEAN,End Tables,0,On Promotion,613,0.0
2025-06-28,1072-071/OCEAN,End Tables,0,On Promotion,675,0.0
2025-06-29,1072-071/OCEAN,End Tables,3,On Promotion,1055,0.0028
2025-06-30,1072-071/OCEAN,End Tables,1,On Promotion,249,0.004
2025-07-01,1072-071/OCEAN,End Tables,3,On Promotion,855,0.0035
2025-07-02,1072-071/OCEAN,End Tables,1,On Promotion,314,0.0032
2025-07-03,1072-071/OCEAN,End Tables,1,On Promotion,309,0.0032
2025-07-04,1072-071/OCEAN,End Tables,0,On Promotion,949,0.0
2025-07-05,1072-071/OCEAN,End Tables,2,On Promotion,689,0.0029
2025-07-06,1072-071/OCEAN,End Tables,2,On Promotion,564,0.0035
2025-07-07,1072-071/OCEAN,End Tables,0,On Promotion,643,0.0
2025-07-08,1072-071/OCEAN,End Tables,2,On Promotion,1014,0.002
2025-07-09,1072-071/OCEAN,End Tables,0,On Promotion,516,0.0
2025-07-10,1072-071/OCEAN,End Tables,1,On Promotion,241,0.0041
2025-07-11,1072-071/OCEAN,End Tables,0,On Promotion,659,0.0
2025-07-12,1072-071/OCEAN,End Tables,0,On Promotion,1032,0.0
2025-07-13,1072-071/OCEAN,End Tables,0,On Promotion,801,0.0
2025-07-14,1072-071/OCEAN,End Tables,1,On Promotion,157,0.0064
2025-07-15,1072-071/OCEAN,End Tables,1,On Promotion,251,0.004
2025-07-16,1072-071/OCEAN,End Tables,0,On Promotion,510,0.0
2025-07-17,1072-071/OCEAN,End Tables,0,On Promotion,501,0.0
2025-07-18,1072-071/OCEAN,End Tables,0,On Promotion,938,0.0
2025-07-19,1072-071/OCEAN,End Tables,1,On Promotion,395,0.0025
2025-07-20,1072-071/OCEAN,End Tables,1,On Promotion,340,0.0029
2025-07-21,1072-071/OCEAN,End Tables,2,On Promotion,283,0.0071
2025-07-22,1072-071/OCEAN,End Tables,2,On Promotion,573,0.0035
2025-07-23,1072-071/OCEAN,End Tables,0,On Promotion,608,0.0
2025-07-24,1072-071/OCEAN,End Tables,1,On Promotion,341,0.0029
2025-07-25,1072-071/OCEAN,End Tables,2,On Promotion,452,0.0044
2025-07-26,1072-071/OCEAN,End Tables,1,On Promotion,354,0.0028
2025-07-27,1072-071/OCEAN,End Tables,1,On Promotion,296,0.0034
2025-07-28,1072-071/OCEAN,End Tables,0,On Promotion,550,0.0
2025-07-29,1072-071/OCEAN,End Tables,0,On Promotion,938,0.0
2025-07-30,1072-071/OCEAN,End Tables,0,On Promotion,613,0.0
2025-07-31,1072-071/OCEAN,End Tables,0,On Promotion,550,0.0
2025-08-01,1072-071/OCEAN,End Tables,0,On Promotion,674,0.0
2025-08-02,1072-071/OCEAN,End Tables,0,On Promotion,1008,0.0
2025-08-03,1072-071/OCEAN,End Tables,2,On Promotion,297,0.0067
2025-08-04,1072-071/OCEAN,End Tables,1,On Promotion,337,0.003
2025-08-05,1072-071/OCEAN,End Tables,0,On Promotion,674,0.0
2025-08-06,1072-071/OCEAN,End Tables,2,On Promotion,576,0.0035
2025-08-07,1072-071/OCEAN,End Tables,2,On Promotion,346,0.0058
2025-08-08,1072-071/OCEAN,End Tables,0,On Promotion,566,0.0
2025-08-09,1072-071/OCEAN,End Tables,0,On Promotion,742,0.0
2025-08-10,1072-071/OCEAN,End Tables,0,On Promotion,822,0.0
2025-08-11,1072-071/OCEAN,End Tables,0,On Promotion,664,0.0
2025-08-12,1072-071/OCEAN,End Tables,4,On Promotion,1701,0.0024
2025-08-13,1072-071/OCEAN,End Tables,1,On Promotion,293,0.0034
2025-08-14,1072-071/OCEAN,End Tables,1,On Promotion,196,0.0051
2025-08-15,1072-071/OCEAN,End Tables,1,On Promotion,442,0.0023
2025-08-16,1072-071/OCEAN,End Tables,1,On Promotion,245,0.0041
2025-08-17,1072-071/OCEAN,End Tables,0,On Promotion,822,0.0
2025-08-18,1072-071/OCEAN,End Tables,1,On Promotion,253,0.004
2025-08-19,1072-071/OCEAN,End Tables,1,On Promotion,320,0.0031
2025-08-20,1072-071/OCEAN,End Tables,2,On Promotion,997,0.002
2025-08-21,1072-071/OCEAN,End Tables,2,On Promotion,842,0.0024
2025-08-22,1072-071/OCEAN,End Tables,1,On Promotion,258,0.0039
2025-08-23,1072-071/OCEAN,End Tables,2,On Promotion,746,0.0027
2025-08-24,1072-071/OCEAN,End Tables,2,On Promotion,630,0.0032
2025-08-25,1072-071/OCEAN,End Tables,1,On Promotion,692,0.0014
2025-08-26,1072-071/OCEAN,End Tables,1,On Promotion,299,0.0033
2025-08-27,1072-071/OCEAN,End Tables,0,On Promotion,566,0.0
2025-08-28,1072-071/OCEAN,End Tables,1,On Promotion,280,0.0036
2025-08-29,1072-071/OCEAN,End Tables,1,On Promotion,317,0.0032
2025-08-30,1072-071/OCEAN,End Tables,2,On Promotion,805,0.0025
2025-08-31,1072-071/OCEAN,End Tables,1,On Promotion,399,0.0025
2025-09-01,1072-071/OCEAN,End Tables,3,On Promotion,1047,0.0029
2025-09-02,1072-071/OCEAN,End Tables,1,On Promotion,299,0.0033
2025-09-03,1072-071/OCEAN,End Tables,4,On Promotion,1701,0.0024
2025-09-04,1072-071/OCEAN,End Tables,1,On Promotion,321,0.0031
2025-09-05,1072-071/OCEAN,End Tables,3,On Promotion,1175,0.0026
2025-09-06,1072-071/OCEAN,End Tables,2,On Promotion,541,0.0037
2025-09-07,1072-071/OCEAN,End Tables,0,On Promotion,704,0.0
2025-09-08,1072-071/OCEAN,End Tables,3,On Promotion,669,0.0045
2025-09-09,1072-071/OCEAN,End Tables,1,On Promotion,209,0.0048
2025-09-10,1072-071/OCEAN,End Tables,0,On Promotion,501,0.0
2025-09-11,1072-071/OCEAN,End Tables,3,On Promotion,743,0.004
2025-09-12,1072-071/OCEAN,End Tables,1,On Promotion,141,0.0071
2025-09-13,1072-071/OCEAN,End Tables,2,On Promotion,627,0.0032
2025-09-14,1072-071/OCEAN,End Tables,3,On Promotion,787,0.0038
2025-09-15,1072-071/OCEAN,End Tables,2,On Promotion,536,0.0037
2025-09-16,1072-071/OCEAN,End Tables,1,On Promotion,329,0.003
2025-09-17,1072-071/OCEAN,End Tables,0,On Promotion,510,0.0
2025-09-18,1072-071/OCEAN,End Tables,2,On Promotion,775,0.0026
2025-09-19,1072-071/OCEAN,End Tables,1,On Promotion,238,0.0042
2025-09-20,1072-071/OCEAN,End Tables,0,On Promotion,720,0.0
2025-09-21,1072-071/OCEAN,End Tables,1,On Promotion,154,0.0065
2025-09-22,1072-071/OCEAN,End Tables,1,On Promotion,347,0.0029
2025-09-23,1072-071/OCEAN,End Tables,0,On Promotion,469,0.0
2025-09-24,1072-071/OCEAN,End Tables,3,On Promotion,864,0.0035
2025-09-25,1072-071/OCEAN,End Tables,0,On Promotion,916,0.0
2025-09-26,1072-071/OCEAN,End Tables,3,On Promotion,696,0.0043
2025-09-27,1072-071/OCEAN,End Tables,2,On Promotion,689,0.0029
2025-09-28,1072-071/OCEAN,End Tables,1,On Promotion,272,0.0037
2025-09-29,1072-071/OCEAN,End Tables,0,On Promotion,747,0.0
2025-09-30,1072-071/OCEAN,End Tables,1,On Promotion,341,0.0029
2025-10-01,1072-071/OCEAN,End Tables,1,On Promotion,327,0.0031
2025-10-02,1072-071/OCEAN,End Tables,2,On Promotion,946,0.0021
2025-10-03,1072-071/OCEAN,End Tables,0,On Promotion,555,0.0
2025-10-04,1072-071/OCEAN,End Tables,0,On Promotion,669,0.0
2025-10-05,1072-071/OCEAN,End Tables,2,On Promotion,524,0.0038
2025-10-06,1072-071/OCEAN,End Tables,1,On Promotion,270,0.0037
2025-10-07,1072-071/OCEAN,End Tables,0,On Promotion,613,0.0
2025-10-08,1072-071/OCEAN,End Tables,0,On Promotion,707,0.0
2025-10-09,1072-071/OCEAN,End Tables,0,On Promotion,571,0.0
2025-10-10,1072-071/OCEAN,End Tables,3,On Promotion,1267,0.0024
2025-10-11,1072-071/OCEAN,End Tables,5,On Promotion,1614,0.0031
2025-10-12,1072-071/OCEAN,End Tables,1,On Promotion,206,0.0049
2025-10-13,1072-071/OCEAN,End Tables,2,On Promotion,683,0.0029
2025-10-14,1072-071/OCEAN,End Tables,0,On Promotion,696,0.0
2025-10-15,1072-071/OCEAN,End Tables,0,On Promotion,669,0.0
2025-10-16,1072-071/OCEAN,End Tables,0,On Promotion,747,0.0
2025-10-17,1072-071/OCEAN,End Tables,0,On Promotion,730,0.0
2025-10-18,1072-071/OCEAN,End Tables,1,On Promotion,432,0.0023
2025-10-19,1072-071/OCEAN,End Tables,0,On Promotion,725,0.0
2025-10-20,1072-071/OCEAN,End Tables,0,On Promotion,510,0.0
2025-10-21,1072-071/OCEAN,End Tables,0,On Promotion,501,0.0
2025-10-22,1072-071/OCEAN,End Tables,1,On Promotion,346,0.0029
2025-10-23,1072-071/OCEAN,End Tables,1,On Promotion,199,0.005
2025-10-24,1072-071/OCEAN,End Tables,0,On Promotion,510,0.0
2025-10-25,1072-071/OCEAN,End Tables,1,On Promotion,421,0.0024
2025-10-26,1072-071/OCEAN,End Tables,1,On Promotion,326,0.0031
2025-10-27,1072-071/OCEAN,End Tables,1,On Promotion,570,0.0018
2025-10-28,1072-071/OCEAN,End Tables,1,On Promotion,210,0.0048
2025-10-29,1072-071/OCEAN,End Tables,0,On Promotion,764,0.0
2025-10-30,1072-071/OCEAN,End Tables,1,On Promotion,216,0.0046
2025-10-31,1072-071/OCEAN,End Tables,1,On Promotion,244,0.0041
2025-11-01,1072-071/OCEAN,End Tables,0,On Promotion,1008,0.0
2025-11-02,1072-071/OCEAN,End Tables,1,On Promotion,214,0.0047
2025-11-03,1072-071/OCEAN,End Tables,0,On Promotion,916,0.0
2025-11-04,1072-071/OCEAN,End Tables,1,On Promotion,223,0.0045
2025-11-05,1072-071/OCEAN,End Tables,0,On Promotion,724,0.0
2025-11-06,1072-071/OCEAN,End Tables,0,On Promotion,747,0.0
2025-11-07,1072-071/OCEAN,End Tables,1,On Promotion,298,0.0034
2025-11-08,1072-071/OCEAN,End Tables,2,On Promotion,482,0.0041
2025-11-09,1072-071/OCEAN,End Tables,2,On Promotion,449,0.0045
2025-11-10,1072-071/OCEAN,End Tables,1,On Promotion,251,0.004
2025-11-11,1072-071/OCEAN,End Tables,2,On Promotion,539,0.0037
2025-11-12,1072-071/OCEAN,End Tables,0,On Promotion,747,0.0
2025-11-13,1072-071/OCEAN,End Tables,1,On Promotion,181,0.0055
2025-11-14,1072-071/OCEAN,End Tables,1,On Promotion,231,0.0043
2025-11-15,1072-071/OCEAN,End Tables,1,On Promotion,507,0.002
2025-11-16,1072-071/OCEAN,End Tables,0,On Promotion,605,0.0
2025-11-17,1072-071/OCEAN,End Tables,0,On Promotion,640,0.0
2025-11-18,1072-071/OCEAN,End Tables,0,On Promotion,609,0.0
2025-11-19,1072-071/OCEAN,End Tables,2,On Promotion,304,0.0066
2025-11-20,1072-071/OCEAN,End Tables,2,On Promotion,778,0.0026
2025-11-21,1072-071/OCEAN,End Tables,0,On Promotion,613,0.0
2025-11-22,1072-071/OCEAN,End Tables,0,On Promotion,516,0.0
2025-11-23,1072-071/OCEAN,End Tables,2,On Promotion,635,0.0031
2025-11-24,1072-071/OCEAN,End Tables,2,On Promotion,337,0.0059
2025-11-25,1072-071/OCEAN,End Tables,4,On Promotion,903,0.0044
2025-11-26,1072-071/OCEAN,End Tables,1,On Promotion,159,0.0063
2025-11-27,1072-071/OCEAN,End Tables,2,On Promotion,686,0.0029
2025-11-28,1072-071/OCEAN,End Tables,0,On Promotion,1024,0.0
2025-11-29,1072-071/OCEAN,End Tables,2,On Promotion,1271,0.0016
2025-11-30,1072-071/OCEAN,End Tables,1,On Promotion,350,0.0029
2025-12-01,1072-071/OCEAN,End Tables,2,On Promotion,811,0.0025
2025-12-02,1072-071/OCEAN,End Tables,1,On Promotion,262,0.0038
2025-12-03,1072-071/OCEAN,End Tables,0,On Promotion,609,0.0
2025-12-04,1072-071/OCEAN,End Tables,1,On Promotion,279,0.0036
2025-12-05,1072-071/OCEAN,End Tables,0,On Promotion,654,0.0
2025-12-06,1072-071/OCEAN,End Tables,1,On Promotion,147,0.0068
2025-12-07,1072-071/OCEAN,End Tables,0,On Promotion,801,0.0
2025-12-08,1072-071/OCEAN,End Tables,0,On Promotion,747,0.0
2025-12-09,1072-071/OCEAN,End Tables,0,On Promotion,501,0.0
2025-12-10,1072-071/OCEAN,End Tables,1,On Promotion,254,0.0039
2025-12-11,1072-071/OCEAN,End Tables,1,On Promotion,256,0.0039
2025-12-12,1072-071/OCEAN,End Tables,1,On Promotion,245,0.0041
2025-12-13,1072-071/OCEAN,End Tables,3,On Promotion,774,0.0039
2025-12-14,1072-071/OCEAN,End Tables,3,On Promotion,1285,0.0023
2025-12-15,1072-071/OCEAN,End Tables,0,On Promotion,510,0.0
2025-12-16,1072-071/OCEAN,End Tables,0,On Promotion,659,0.0
2025-12-17,1072-071/OCEAN,End Tables,1,On Promotion,265,0.0038
2025-12-18,1072-071/OCEAN,End Tables,1,On Promotion,178,0.0056
2025-12-19,1072-071/OCEAN,End Tables,1,On Promotion,333,0.003
2025-12-20,1072-071/OCEAN,End Tables,1,On Promotion,379,0.0026
2025-12-21,1072-071/OCEAN,End Tables,2,On Promotion,879,0.0023
2025-12-22,1072-071/OCEAN,End Tables,1,On Promotion,241,0.0041
2025-12-23,1072-071/OCEAN,End Tables,0,On Promotion,480,0.0
2025-12-24,1072-071/OCEAN,End Tables,2,On Promotion,483,0.0041
2025-12-25,1072-071/OCEAN,End Tables,0,On Promotion,972,0.0
2025-12-26,1072-071/OCEAN,End Tables,1,On Promotion,215,0.0047
2025-12-27,1072-071/OCEAN,End Tables,0,On Promotion,669,0.0
2025-12-28,1072-071/OCEAN,End Tables,1,On Promotion,258,0.0039
2025-12-29,1072-071/OCEAN,End Tables,0,On Promotion,728,0.0
2025-12-30,1072-071/OCEAN,End Tables,2,On Promotion,454,0.0044
2025-12-31,1072-071/OCEAN,End Tables,1,On Promotion,313,0.0032
2026-01-01,1072-071/OCEAN,End Tables,7,On Promotion,2460,0.0028
2026-01-02,1072-071/OCEAN,End Tables,0,On Promotion,571,0.0
2026-01-03,1072-071/OCEAN,End Tables,1,On Promotion,629,0.0016
2026-01-04,1072-071/OCEAN,End Tables,2,On Promotion,564,0.0035
2026-01-05,1072-071/OCEAN,End Tables,0,On Promotion,613,0.0
